Star,Expected_Radius,e_Expected_Radius,Computed_Radius,e_Computed_Radius,Extinction_Radius,e_Extinction_Radius
55 Cnc,0.941,0.010,0.954,0.035,1.343,1.185
DE Boo,0.863,0.016,0.887,0.032,2.382,1.418
GJ176,0.394,0.018,0.536,0.596,2.050,0.722
HAT-P-17,0.868,0.005,0.877,0.024,0.322,0.134
HD 136352,1.054,0.014,1.110,0.042,0.814,0.931
HD 176986,0.805,0.013,0.813,0.026,1.999,0.414
HD 209458,1.188,0.013,1.201,0.036,1.930,0.436
HD 215152,0.775,0.006,0.783,0.029,1.826,0.285
HD 49674,1.022,0.009,1.035,0.029,1.898,0.404
HD128582,1.630,0.026,1.635,0.046,4.753,0.935
HD5806,1.242,0.010,1.263,0.042,1.500,0.310
HD95338,0.868,0.006,0.877,0.027,1.524,0.320
HIP 41378,1.299,0.008,1.326,0.048,0.958,0.384
K2-287,1.108,0.010,1.101,0.025,0.208,0.114
KELT-6,1.643,0.016,1.700,0.053,0.309,0.199
TIC130843507,1.041,0.009,1.066,0.035,0.224,0.119
TIC182992572,0.715,0.005,0.719,0.024,0.378,0.174
TIC209464063,0.938,0.007,0.941,0.024,0.159,0.096
TIC393546540,0.820,0.005,0.824,0.027,0.645,0.291
TOI-1203,1.179,0.011,1.208,0.036,1.522,0.429
TOI-1797,1.043,0.009,1.042,0.033,0.825,0.231
TIC466693177,1.382,0.011,1.411,0.044,0.854,0.351
TOI-1130,0.697,0.011,0.689,0.027,0.301,0.134
TOI-1471,0.962,0.008,0.978,0.035,0.857,0.365
TOI-2494,0.886,0.006,0.904,0.027,0.151,0.074
TOI-261,1.164,0.010,1.179,0.033,0.594,0.220
TOI-411,1.117,0.009,1.142,0.034,1.649,0.426
TOI-4191,1.123,0.011,1.153,0.040,0.854,0.345
TOI-4317,0.781,0.009,0.751,0.030,0.314,0.205
TOI-4361,1.235,0.011,1.246,0.042,0.842,0.312
TOI-461,0.762,0.005,0.772,0.023,0.782,0.285
TOI-815,0.770,0.009,0.781,0.026,0.544,0.279
TOI2076,0.770,0.006,0.785,0.025,1.060,0.274
WASP-130,1.049,0.010,1.038,0.033,0.168,0.099
WASP-3,1.335,0.010,1.379,0.053,0.228,0.123
WASP-38,1.483,0.013,1.502,0.047,0.694,0.270
WASP-8,1.045,0.026,1.015,0.036,0.620,0.267
WASP-84,0.828,0.005,0.837,0.024,0.244,0.135
